experimental_perturbation	cas	verdict	term_id	chebi_name	reason_code	inchikey	identity_evidence	first_seen_batch	last_updated_batch
(RS)-Atenolol	29122-68-7	verified	CHEBI:2904	atenolol		METKIMKYRPQLGS-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
(RS)-Baclofen	1134-47-0	verified	CHEBI:2972	baclofen		KPYSYYIEGFHWSV-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
(RS)-CPP	100828-16-8	unverified			in_pubchem_not_in_chebi	CUVGUPIVTLGRGI-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
(S)-(+)-a-Methylhistamine dihydrobromide	75614-93-6	unverified			in_pubchem_not_in_chebi	RWHNAAABSGVRDT-XRIGFGBMSA-N	name and CAS resolved independently to the same structure	1	2
(S)-(+)-Niguldipine hydrochloride	113145-69-0	unverified			in_pubchem_not_in_chebi	MHOSUIMBPQVOEU-WAQYZQTGSA-N	name and CAS resolved independently to the same structure	1	2
(S)-(+)-Rolipram	85416-73-5	verified	CHEBI:59540	(+)-rolipram		HJORMJIFDVBMOB-GFCCVEGCSA-N	name and CAS resolved independently to the same structure	1	2
(S)-(-)-5-Iodowillardiine	140187-25-3	unverified			in_pubchem_not_in_chebi	AXXYLTBQIQBTES-BYPYZUCNSA-N	name and CAS resolved independently to the same structure	1	2
(S)-(-)-Bay K 8644	98625-26-4	verified	CHEBI:131347	(S)-Bay-K-8644		ZFLWDHHVRRZMEI-ZDUSSCGKSA-N	name and CAS resolved independently to the same structure	1	2
(S)-(-)-HA-966	111821-58-0	unverified			in_pubchem_not_in_chebi	HCKUBNLZMKAEIN-VKHMYHEASA-N	name and CAS resolved independently to the same structure	1	2
(S)-(-)-Pindolol	26328-11-0	verified	CHEBI:48281	(S)-(−)-pindolol		JZQKKSLKJUAGIC-NSHDSACASA-N	name and CAS resolved independently to the same structure	1	2
(S)-(-)-Propranolol hydrochloride	4199-10-4	unverified			in_pubchem_not_in_chebi	ZMRUPTIKESYGQW-UQKRIMTDSA-N	name and CAS resolved independently to the same structure	1	2
(S)-(-)-Sulpiride	23672-07-3	verified	CHEBI:64119	(S)-(−)-sulpiride		BGRJTUBHPOOWDU-NSHDSACASA-N	name and CAS resolved independently to the same structure	1	2
(S)-Timolol maleate	26921-17-5	verified	CHEBI:9600	(S)-timolol maleate		WLRMANUAADYWEA-NWASOUNVSA-N	name and CAS resolved independently to the same structure	1	2
(±)-1-(1,2-Diphenylethyl)piperidine maleate	207461-99-2	unverified			in_pubchem_not_in_chebi	AEHZEDLXDLPQQD-UHFFFAOYSA-N	the experimental team supplied the structure as SMILES	1	2
(±)-5'-Chloro-5'-deoxy-ENBA	103626-26-2	unverified			identity_single_source_only	PVJGDYDNVNCGBT-STHLEMNDSA-N	single_source	1	2
(±)-AC 7954 hydrochloride	477313-09-0	unverified			in_pubchem_not_in_chebi	AJPGLOWFIBOGMH-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
(±)-Bay K 8644	71145-03-4	verified	CHEBI:131345	methyl 2,6-dimethyl-5-nitro-4-[2-(trifluoromethyl)phenyl]-1,4-dihydropyridine-3-carboxylate		ZFLWDHHVRRZMEI-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
(±)-Bisoprolol hemifumarate	104344-23-2	verified	CHEBI:3128	bisoprolol fumarate		VMDFASMUILANOL-WXXKFALUSA-N	name and CAS resolved independently to the same structure	1	2
(±)-Blebbistatin	674289-55-5	verified	CHEBI:75379	blebbistatin		LZAXPYOBKSJSEX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
(±)-Cloprostenol sodium salt	55028-72-3	unverified			in_pubchem_not_in_chebi	IFEJLMHZNQJGQU-KXXGZHCCSA-M	name and CAS resolved independently to the same structure	1	2
(±)-Epibatidine	148152-66-3	unverified			chebi_has_only_a_different_form	NLPRAJRHRHZCQQ-IVZWLZJFSA-N	name and CAS agree; PubChem stereo-duplicate, anchored on the defined side	1	1
(±)-Nipecotic acid	60252-41-7	verified	CHEBI:116931	nipecotic acid		XJLSEXAGTJCILF-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	1
(±)-Palmitoylcarnitine chloride	6865-14-1	unverified			in_pubchem_not_in_chebi	GAMKNLFIHBMGQT-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
(±)-threo-3-Methylglutamic acid	63088-04-0	unverified			in_pubchem_not_in_chebi	FHJNAFIJPFGZRI-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	1
1,2,3,4,5,6-Hexabromocyclohexane	1837-91-8	verified	CHEBI:93940	1,2,3,4,5,6-hexabromocyclohexane		QFQZKISCBJKVHI-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
1,3-Dipropyl-8-phenylxanthine	85872-53-3	verified	CHEBI:107631	8-phenyl-1,3-dipropyl-7H-purine-2,6-dione		CLIGSMOZKDCDRZ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
1-Acetyl-4-methylpiperazine hydrochloride	144205-68-5	unverified			in_pubchem_not_in_chebi	MQTVMZTUPOGGGV-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
1-EBIO	10045-45-1	verified	CHEBI:34076	1-Ethyl-2-benzimidazolinone		CXUCKELNYMZTRT-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
1-Naphthyl PP1	221243-82-9	verified	CHEBI:52310	1-NA-PP1		XSHQBIXMLULFEV-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
1-Phenylbiguanide hydrochloride	55-57-2	unverified			in_pubchem_not_in_chebi	FHUDRDSKZQDCBC-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
10-DEBC hydrochloride	925681-41-0	verified	CHEBI:231361	10-DEBC hydrochloride		SVKSJUIYYCQZEC-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
17-ODYA	34450-18-5	verified	CHEBI:142447	octadec-17-ynoic acid		DZIILFGADWDKMF-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
2'-MeCCPA	205171-12-6	unverified			in_pubchem_not_in_chebi	MMPAUXMIDJWGFO-ROMFRFKVSA-N	name and CAS resolved independently to the same structure	1	2
2,4-Diamino-6-hydroxypyrimidine	56-06-4	verified	CHEBI:195830	2,4-Diamino-6-hydroxypyrimidine		SWELIMKTDYHAOY-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
2,6-DIMETHOXYQUINONE	530-55-2	unverified			in_pubchem_not_in_chebi	OLBNOBQOQZRLMP-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
2-[1-(4-Piperonyl)piperazinyl]benzothiazole	155106-73-3	verified	CHEBI:113557	2-[4-(1,3-benzodioxol-5-ylmethyl)-1-piperazinyl]-1,3-benzothiazole		BYHKGNWKJMGHGE-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
2-APB	524-95-8	verified	CHEBI:131184	2-aminoethoxydiphenylborane		BLZVCIGGICSWIG-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
2-Chloro-N6-cyclopentyladenosine	37739-05-2	unverified			in_pubchem_not_in_chebi	XSMYYYQVWPZWIZ-IDTAVKCVSA-N	name and CAS resolved independently to the same structure	1	2
2-Chloroadenosine	146-77-0	verified	CHEBI:125640	(2R,3R,4S,5R)-2-(6-amino-2-chloro-9-purinyl)-5-(hydroxymethyl)oxolane-3,4-diol		BIXYYZIIJIXVFW-UUOKFMHZSA-N	name and CAS resolved independently to the same structure	2	2
2-Cl-IB-MECA	163042-96-4	verified	CHEBI:747623	2-Cl-IB-MECA		IPSYPUKKXMNCNQ-PFHKOEEOSA-N	name and CAS resolved independently to the same structure	1	2
2-CMDO	24140-98-5	unverified			in_pubchem_not_in_chebi	OOHVXDUNWCMZCI-BTJKTKAUSA-N	name and CAS resolved independently to the same structure	1	2
2-Hydroxysaclofen	117354-64-0	verified	CHEBI:111179	3-amino-2-(4-chlorophenyl)-2-hydroxy-1-propanesulfonic acid		WBSMZVIMANOCNX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
2-Iodomelatonin	93515-00-5	verified	CHEBI:109558	N-[2-(2-iodo-5-methoxy-1H-indol-3-yl)ethyl]acetamide		FJDDSMSDZHURBJ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
2-Methoxyestradiol	362-07-2	verified	CHEBI:28955	2-methoxy-17β-estradiol		CQOQDQWUFQDJMK-SSTWWWIQSA-N	name and CAS resolved independently to the same structure	1	2
2-Methyl-5-hydroxytryptamine hydrochloride	845861-49-6	unverified			in_pubchem_not_in_chebi	ZNVRHQPXSBWLQP-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
2-Methylthioadenosine triphosphate tetrasodium salt	100020-57-3	verified	CHEBI:231750	2-Methylthio-ATP		UEEFBRHXFDJPTA-KWIZKVQNSA-J	name and CAS resolved independently to the same structure	1	2
2-Phenylmelatonin	151889-03-1	verified	CHEBI:107661	N-[2-(5-methoxy-2-phenyl-1H-indol-3-yl)ethyl]acetamide		OFCLARYYBGKCHN-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
2-Pyridylethylamine dihydrochloride	3343-39-3	unverified			in_pubchem_not_in_chebi	GPIFKSYYILNJNR-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
2-TEDC	132465-10-2	unverified			in_pubchem_not_in_chebi	KCGLTUBCAGZLHP-XYOKQWHBSA-N	name and CAS resolved independently to the same structure	1	2
3'-Fluorobenzylspiperone maleate	1135278-61-3	unverified			in_pubchem_not_in_chebi	JURUFADWVGXLOY-BTJKTKAUSA-N	name and CAS resolved independently to the same structure	1	2
3-Aminobenzamide	3544-24-9	verified	CHEBI:64042	3-aminobenzamide		GSCPDZHWVNUUFI-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
3-AQC	201216-42-4	unverified			in_pubchem_not_in_chebi	UHLVYEOCPBNJNA-BTJKTKAUSA-N	name and CAS resolved independently to the same structure	1	2
3-Methyl-GABA	1216629-00-3	unverified			in_pubchem_not_in_chebi	XDPUYXWLPXNCDY-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
3-METHYLORSELLINIC ACID	4707-46-4	verified	CHEBI:146309	3-methylorsellinic acid		VHNLJRRECIZZPX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
4 -DEMETHYLEPIPODOPHYLLOTOXIN	518-28-5	unverified			cas_and_name_are_different_compounds		compound_disagreement	2	2
4-(4-Fluorobenzoyl)-1-(4-phenylbutyl)-piperidine oxalate	144734-36-1	unverified			in_pubchem_not_in_chebi	VUJYJCRJPFMHEM-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
4-Acetyl-1,1-dimethylpiperazinium iodide	75667-84-4	unverified			in_pubchem_not_in_chebi	VXBLRKDEHGKPAC-UHFFFAOYSA-M	name and CAS resolved independently to the same structure	1	2
4-Aminopyridine	504-24-5	verified	CHEBI:34385	4-aminopyridine		NUKYPUAOHBNCPY-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
4-DAMP	1952-15-4	verified	CHEBI:73340	4-DAMP methiodide		WWJHRSCUAQPFQO-UHFFFAOYSA-M	name and CAS resolved independently to the same structure	1	2
4-HQN	491-36-1	verified	CHEBI:113558	1H-quinazolin-4-one		QMNUDYFKZYBWQX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
4-IBP	155798-08-6	verified	CHEBI:114190	4-iodo-N-[1-(phenylmethyl)-4-piperidinyl]benzamide		HELCSESNNDZLFM-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
4-IPP	41270-96-6	verified	CHEBI:91213	4-iodo-6-phenylpyrimidine		ZTCJXHNJVLUUMR-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
4-Methylhistamine dihydrochloride	36376-47-3	unverified			in_pubchem_not_in_chebi	BVJIXYJOFWYOBL-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
4-P-PDOT	620170-78-7	unverified			chebi_has_only_a_different_form	RCYLUNPFECYGDW-SJLPKXTDSA-N	name and CAS agree; PubChem stereo-duplicate, anchored on the defined side	1	2
4-PPBP maleate	201216-39-9	unverified			in_pubchem_not_in_chebi	OASPNIMFGJVLES-BTJKTKAUSA-N	name and CAS resolved independently to the same structure	1	2
5,7-Dichlorokynurenic acid	131123-76-7	verified	CHEBI:107660	5,7-dichloro-4-oxo-1H-quinoline-2-carboxylic acid		BGKFPRIGXAVYNX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
5-BDBD	768404-03-1	unverified			in_pubchem_not_in_chebi	NKYMVQPXXTZHSF-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
5-Carboxamidotryptamine maleate	74885-72-6	unverified			in_pubchem_not_in_chebi	PZQZSWAOVAMBQM-BTJKTKAUSA-N	name and CAS resolved independently to the same structure	1	2
5-Iodo-A-85380 dihydrochloride	1217837-17-6	unverified			in_pubchem_not_in_chebi	ZJVVFYWEBSHGBV-JZGIKJSDSA-N	name and CAS resolved independently to the same structure	1	2
5-Methylfurmethiodide	1197-60-0	unverified			in_pubchem_not_in_chebi	IHTCZSNKQINGDD-UHFFFAOYSA-M	name and CAS resolved independently to the same structure	1	2
6-Chloromelatonin	63762-74-3	verified	CHEBI:109545	N-[2-(6-chloro-5-methoxy-1H-indol-3-yl)ethyl]acetamide		LUINDDOUWHRIPW-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
6-Iodo-nordihydrocapsaicin	859171-97-4	verified	CHEBI:107654	N-[(4-hydroxy-2-iodo-5-methoxyphenyl)methyl]nonanamide		AAORACFZMYMFCG-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
7-Chlorokynurenic acid	18000-24-3	verified	CHEBI:63965	7-chlorokynurenic acid		UAWVRVFHMOSAPU-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
7-Hydroxy-DPAT hydrobromide	76135-30-3	unverified			in_pubchem_not_in_chebi	ODNDMTWHRYECKX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
7-Hydroxy-PIPAT maleate	200722-46-9	verified	CHEBI:64134	2-{[(2E)-3-iodoprop-2-en-1-yl](propyl)amino}tetralin-7-ol maleate		IQRDHLSQXOATHD-HBRCEPSSSA-N	name and CAS resolved independently to the same structure	1	2
7-NINA	161467-34-1	unverified			in_pubchem_not_in_chebi	DJMLKKIIBMJGIQ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
7-Nitroindazole	2942-42-9	verified	CHEBI:40287	7-nitroindazole		PQCAUHUKTBHUSA-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
8-Bromo-cAMP, sodium salt	76939-46-3	unverified			in_pubchem_not_in_chebi	DMRMZQATXPQOTP-GWTDSMLYSA-M	name and CAS resolved independently to the same structure	1	2
8-Hydroxy-DPAT hydrobromide	76135-31-4	unverified			in_pubchem_not_in_chebi	BATPBOZTBNNDLN-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
8-M-PDOT	134865-70-6	unverified			chebi_has_only_a_different_form	RVIGBTUDFAGRTQ-LLVKDONJSA-N	name and CAS agree; PubChem stereo-duplicate, anchored on the defined side	1	2
9-AC	723-62-6	verified	CHEBI:34507	9-anthroic acid		XGWFJBFNAQHLEF-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
?-CCB	84454-35-3	verified	CHEBI:34867	N-Butyl-beta-carboline-3-carboxylate		WGNGIELOOKACSB-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	2	2
?-Funaltrexamine hydrochloride	72786-10-8	unverified			in_pubchem_not_in_chebi	BIPHUOBUKMPSQR-NQGXHZAGSA-N	name and CAS resolved independently to the same structure	2	2
?DGG	6729-55-1	verified	CHEBI:73843	D-γ-Glu-Gly		ACIJGUBIMXQCMF-SCSAIBSYSA-N	name and CAS resolved independently to the same structure	2	2
A 205804	251992-66-2	verified	CHEBI:114180	4-[(4-methylphenyl)thio]-2-thieno[2,3-c]pyridinecarboxamide		QQGWEXFLMJGCAL-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
A 740003	861393-28-4	unverified			in_pubchem_not_in_chebi	PUHSRMSFDASMAE-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
A-7 hydrochloride	79127-24-5	verified	CHEBI:231363	A-7 hydrochloride		XDJCAQBTSCRBHS-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
ABT 263 Navitoclax	923564-51-6	verified	CHEBI:131174	navitoclax		JLYAXFNOILIKPP-KXQOOQHDSA-N	name and CAS resolved independently to the same structure	2	2
ABT 702 dihydrochloride	2624336-92-9	unverified			in_pubchem_not_in_chebi	KXHYOZCVILMBFV-UHFFFAOYSA-N	the experimental team confirmed the CAS / catalogue product	1	2
ABT 724 trihydrochloride	587870-77-7	unverified			in_pubchem_not_in_chebi	AZFUVPBLKQGSRI-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
ABT-737	852808-04-9	verified	CHEBI:47575	ABT-737		HPLNQCPCUACXLM-PGUFJCEWSA-N	name and CAS resolved independently to the same structure	2	2
AC 264613	1051487-82-1	unverified			cas_and_name_are_different_stereoisomers		stereoisomer_disagreement	1	2
AC 55649	59662-49-6	verified	CHEBI:95048	4-(4-octylphenyl)benzoic acid		HXBKPYIEQLLNBK-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
AC-93253 iodide	108527-83-9	verified	CHEBI:233224	AC-93253 iodide		TWBRXRGFFUATNI-UHFFFAOYSA-M	name and CAS resolved independently to the same structure	1	2
Acarbose	56180-94-0	unverified			chebi_entry_same_name_different_structure	CEMXHAPUFJOOSV-XGWNLRGSSA-N	name and CAS resolved independently to the same structure	1	2
ACBC	22264-50-2	verified	CHEBI:190867	1-AMINOCYCLOBUTANE CARBOXYLIC ACID		FVTVMQPGKVHSEY-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Acetaminophen	103-90-2	verified	CHEBI:46195	paracetamol		RZVAJINKPMORJF-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
ACETYL ISOGAMBOGIC ACID		unverified			identity_single_source_only	REDMIYQFNIRTDF-AKZXAPPFSA-N	single_source	2	2
ACETYL ISOGAMBOGIC ACID	6857-78-9	unverified			in_pubchem_not_in_chebi	REDMIYQFNIRTDF-AKZXAPPFSA-N	the experimental team confirmed the compound name	1	1
Acifran	72420-38-3	unverified			chebi_entry_exists_but_has_no_structure	DFDGRKNOFOJBAJ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Actinomycin D Dactinomycin	50-76-0	verified	CHEBI:27666	actinomycin D		RJURFGZVJUQBHK-IIXSONLDSA-N	name and CAS resolved independently to the same structure	2	2
Adefovir Dipivoxil	142340-99-6	verified	CHEBI:31175	adefovir pivoxil		WOZSCQDILHKSGG-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	2	2
AEG 3482	63735-71-7	verified	CHEBI:114182	6-phenyl-2-imidazo[2,1-b][1,3,4]thiadiazolesulfonamide		MQUYTXDAVCOCMX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
AG 18	118409-57-7	verified	CHEBI:92862	2-[(3,4-dihydroxyphenyl)methylidene]propanedinitrile		VTJXFTPMFYAJJU-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
AG 490	133550-30-8	verified	CHEBI:131968	tyrphostin B42		TUCIOBMMDDOEMM-RIYZIHGNSA-N	name and CAS resolved independently to the same structure	1	2
AG 825	149092-50-2	verified	CHEBI:75405	tyrphostin AG 825		KXDONFLNGBQLTN-WUXMJOGZSA-N	name and CAS resolved independently to the same structure	1	2
Agmatine sulfate	2482-00-0	unverified			in_pubchem_not_in_chebi	PTAYFGHRDOMJGC-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
AH 6809	33458-93-4	verified	CHEBI:95289	9-oxo-6-propan-2-yloxy-2-xanthenecarboxylic acid		AQFFXPQJLZFABJ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Alexidine dihydrochloride	22573-88-2	unverified			chebi_has_only_a_different_form	BRJJFBHTDVWTCJ-UHFFFAOYSA-N	the experimental team confirmed the compound name	1	2
Alrestatin	51411-04-2	unverified			in_pubchem_not_in_chebi	GCUCIFQCGJIRNT-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Altanserin hydrochloride	1135280-78-2	unverified			in_pubchem_not_in_chebi	JFPPLMAMMZZOEA-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
ALX 5407 hydrochloride	200006-08-2	verified	CHEBI:231644	ALX 5407 hydrochloride		RPDGSZCYSJWQEE-GNAFDRTKSA-N	name and CAS resolved independently to the same structure	1	2
AM 251	183232-66-8	verified	CHEBI:90724	AM-251		BUZAJRPLUGXRAB-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
AM 281	202463-68-1	verified	CHEBI:93039	1-(2,4-dichlorophenyl)-5-(4-iodophenyl)-4-methyl-N-(4-morpholinyl)-3-pyrazolecarboxamide		AJFFBPZYXRNAIC-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
AM 404	183718-77-6	verified	CHEBI:197140	AM404		IJBZOOZRAXHERC-DOFZRALJSA-N	name and CAS resolved independently to the same structure	1	2
